Setup title,"I/V Sweep_0_-2_Dark[3]"
Classic test name,"I/V Sweep"
Test date,3/15/2023
Test time,16:28:38
Device ID,
Count,8
Flags,
Remarks,
Context.MainFrame,B1500A
Channel.UnitType,SMU,SMU
Channel.Unit,SMU4:HR,SMU3:HR
Channel.IName,I1,l2
Channel.VName,V1,V2
Channel.Mode,V,COMMON
Channel.Func,VAR1,CONST
Channel.Index,
Channel.Time,
Measurement.Port.Unit,SMU4:HR,SMU3:HR
Measurement.Port.SeriesResistor,NONE,NONE
Measurement.Port.Filter,ON,ON
Measurement.Port.OutputVoltageComparison,0,0
Measurement.Primary.Locus,Double
Measurement.Primary.Scale,LINEAR
Measurement.Primary.Start,0
Measurement.Primary.Stop,-2
Measurement.Primary.Step,-0.01
Measurement.Primary.Compliance,0.0002
Measurement.Primary.PowerCompliance,0
Measurement.Aborting.Condition,"CONTINUE AT ANY"
Measurement.PostOutput.Value,START
Measurement.PostOutput.Retention,OFF
Measurement.Bias.Source,0,0
Measurement.Bias.Compliance,0.0002,0.1
Measurement.Monitor.Unit,SMU4:HR,SMU3:HR
Measurement.Monitor.Adc,"HR ADC","HR ADC"
Measurement.Monitor.Measurement,"Compliance Side","Compliance Side"
Measurement.Monitor.RangingMode,LIMITED,LIMITED
Measurement.Monitor.RangeBoundary,1nA,1nA
Measurement.Monitor.RangeRating,"BY FULL RANGE","BY FULL RANGE"
Measurement.Monitor.RangeRatingCoeff,50,50
Measurement.Timing.Hold,0
Measurement.Timing.Delay,0
Measurement.Adc.HighSpeed.Mode,PLC
Measurement.Adc.HighSpeed.Coeff,10
Measurement.Adc.HighResolution.AutoZero,OFF
Measurement.Adc.HighResolution.Mode,PLC
Measurement.Adc.HighResolution.Coeff,10
Measurement.WaitTime.Source.Coeff,1
Measurement.WaitTime.Source.Offset,0
Measurement.WaitTime.Monitor.Coeff,1
Measurement.WaitTime.Monitor.Offset,0
Output.Graph.Enabled,true
Output.Graph.AutoScaling,false
Output.Graph.XAxis.Data,V1
Output.Graph.XAxis.Scale,Linear
Output.Graph.XAxis.Left,-1
Output.Graph.XAxis.Right,1
Output.Graph.XAxis.RunTimeAutoScale,true
Output.Graph.YAxis.Data,I1
Output.Graph.YAxis.Scale,Linear
Output.Graph.YAxis.Bottom,-0.1
Output.Graph.YAxis.Top,0.1
Output.Graph.YAxis.Group,
Output.Graph.YAxis.RunTimeAutoScale,true
AutoAnalysis.Interpolation,false
AutoAnalysis.Line1.Enabled,false
AutoAnalysis.Line1.Type,1
AutoAnalysis.Line1.Fix,True
AutoAnalysis.Line1.YAxis,0
AutoAnalysis.Line1.Point1.Type,0
AutoAnalysis.Line1.Point1.XY.X,
AutoAnalysis.Line1.Point1.XY.Y,
AutoAnalysis.Line1.Point1.Data.Var,
AutoAnalysis.Line1.Point1.Data.Condition,
AutoAnalysis.Line1.Point1.Data.Start,false
AutoAnalysis.Line1.Point1.Data.StartVar,
AutoAnalysis.Line1.Point1.Data.StartCondition,
AutoAnalysis.Line1.Point2.Type,0
AutoAnalysis.Line1.Point2.XY.X,
AutoAnalysis.Line1.Point2.XY.Y,
AutoAnalysis.Line1.Point2.Data.Var,
AutoAnalysis.Line1.Point2.Data.Condition,
AutoAnalysis.Line1.Point2.Data.Start,false
AutoAnalysis.Line1.Point2.Data.StartVar,
AutoAnalysis.Line1.Point2.Data.StartCondition,
AutoAnalysis.Line1.GradientExpr,0
AutoAnalysis.Line2.Enabled,false
AutoAnalysis.Line2.Type,1
AutoAnalysis.Line2.Fix,True
AutoAnalysis.Line2.YAxis,0
AutoAnalysis.Line2.Point1.Type,0
AutoAnalysis.Line2.Point1.XY.X,
AutoAnalysis.Line2.Point1.XY.Y,
AutoAnalysis.Line2.Point1.Data.Var,
AutoAnalysis.Line2.Point1.Data.Condition,
AutoAnalysis.Line2.Point1.Data.Start,false
AutoAnalysis.Line2.Point1.Data.StartVar,
AutoAnalysis.Line2.Point1.Data.StartCondition,
AutoAnalysis.Line2.Point2.Type,0
AutoAnalysis.Line2.Point2.XY.X,
AutoAnalysis.Line2.Point2.XY.Y,
AutoAnalysis.Line2.Point2.Data.Var,
AutoAnalysis.Line2.Point2.Data.Condition,
AutoAnalysis.Line2.Point2.Data.Start,false
AutoAnalysis.Line2.Point2.Data.StartVar,
AutoAnalysis.Line2.Point2.Data.StartCondition,
AutoAnalysis.Line2.GradientExpr,0
AutoAnalysis.Marker.Enabled,false
AutoAnalysis.Marker.Data.Var,
AutoAnalysis.Marker.Data.Condition,
AutoAnalysis.Marker.Data.Start,false
AutoAnalysis.Marker.Data.StartVar,
AutoAnalysis.Marker.Data.StartCondition,
V1,I1
0,2.9025E-09
-0.01,-5.69536E-07
-0.02,-1.1529E-06
-0.03,-1.75173E-06
-0.04,-2.35551E-06
-0.05,-2.95677E-06
-0.06,-3.61773E-06
-0.07,-4.25715E-06
-0.08,-4.94574E-06
-0.09,-5.65065E-06
-0.1,-6.39406E-06
-0.11,-7.18073E-06
-0.12,-8.02096E-06
-0.13,-8.92346E-06
-0.14,-9.80891E-06
-0.15,-1.08919E-05
-0.16,-1.18581E-05
-0.17,-1.28378E-05
-0.18,-1.38583E-05
-0.19,-1.48565E-05
-0.2,-1.58982E-05
-0.21,-1.71309E-05
-0.22,-1.83472E-05
-0.23,-1.9499E-05
-0.24,-2.07373E-05
-0.25,-2.21481E-05
-0.26,-2.34073E-05
-0.27,-2.4769E-05
-0.28,-2.61684E-05
-0.29,-2.76828E-05
-0.3,-2.93663E-05
-0.31,-3.07176E-05
-0.32,-3.22549E-05
-0.33,-3.37537E-05
-0.34,-3.5303E-05
-0.35,-3.6968E-05
-0.36,-3.86833E-05
-0.37,-4.04303E-05
-0.38,-4.19482E-05
-0.39,-4.3392E-05
-0.4,-4.49528E-05
-0.41,-4.70554E-05
-0.42,-4.87489E-05
-0.43,-5.03602E-05
-0.44,-5.23296E-05
-0.45,-5.42235E-05
-0.46,-5.63755E-05
-0.47,-5.82332E-05
-0.48,-6.01314E-05
-0.49,-6.21688E-05
-0.5,-6.41833E-05
-0.51,-6.61333E-05
-0.52,-6.82657E-05
-0.53,-7.05483E-05
-0.54,-7.26533E-05
-0.55,-7.50393E-05
-0.56,-7.70235E-05
-0.57,-7.9174E-05
-0.58,-8.1794E-05
-0.59,-8.40692E-05
-0.6,-8.65971E-05
-0.61,-8.90845E-05
-0.62,-9.16461E-05
-0.63,-9.44143E-05
-0.64,-9.70861E-05
-0.65,-9.95986E-05
-0.66,-0.0001019241
-0.67,-0.0001047464
-0.68,-0.0001075514
-0.69,-0.0001097511
-0.7,-0.0001124417
-0.71,-0.000115275
-0.72,-0.000117856
-0.73,-0.000120832
-0.74,-0.000123791
-0.75,-0.000126709
-0.76,-0.000129771
-0.77,-0.000132443
-0.78,-0.000135634
-0.79,-0.000138806
-0.8,-0.00014174
-0.81,-0.000144293
-0.82,-0.000147675
-0.83,-0.000150548
-0.84,-0.000153354
-0.85,-0.00015709
-0.86,-0.000160508
-0.87,-0.000164758
-0.88,-0.000167094
-0.89,-0.000170121
-0.9,-0.00017356
-0.91,-0.000175208
-0.92,-0.00017871
-0.93,-0.000181833
-0.94,-0.000184491
-0.95,-0.000187286
-0.96,-0.000189091
-0.97,-0.000187208
-0.98,-0.000185332
-0.99,-0.000186211
-1,-0.000194783
-1.01,-0.000200004
-1.02,-0.000200041
-1.03,-0.000200041
-1.04,-0.00020004
-1.05,-0.000200041
-1.06,-0.00020004
-1.07,-0.00020004
-1.08,-0.00020004
-1.09,-0.000200041
-1.1,-0.00020004
-1.11,-0.00020004
-1.12,-0.00020004
-1.13,-0.00020004
-1.14,-0.00020004
-1.15,-0.000200041
-1.16,-0.00020004
-1.17,-0.00020004
-1.18,-0.000200041
-1.19,-0.000200041
-1.2,-0.00020004
-1.21,-0.000200041
-1.22,-0.00020004
-1.23,-0.00020004
-1.24,-0.00020004
-1.25,-0.00020004
-1.26,-0.00020004
-1.27,-0.00020004
-1.28,-0.00020004
-1.29,-0.00020004
-1.3,-0.00020004
-1.31,-0.00020004
-1.32,-0.00020004
-1.33,-0.000200039
-1.34,-0.00020004
-1.35,-0.000200041
-1.36,-0.000200039
-1.37,-0.000200039
-1.38,-0.00020004
-1.39,-0.00020004
-1.4,-0.00020004
-1.41,-0.000200039
-1.42,-0.00020004
-1.43,-0.00020004
-1.44,-0.000200039
-1.45,-0.00020004
-1.46,-0.00020004
-1.47,-0.000200041
-1.48,-0.00020004
-1.49,-0.00020004
-1.5,-0.000200039
-1.51,-0.00020004
-1.52,-0.00020004
-1.53,-0.00020004
-1.54,-0.00020004
-1.55,-0.000200039
-1.56,-0.000200041
-1.57,-0.00020004
-1.58,-0.00020004
-1.59,-0.00020004
-1.6,-0.000200041
-1.61,-0.00020004
-1.62,-0.00020004
-1.63,-0.00020004
-1.64,-0.00020004
-1.65,-0.000200039
-1.66,-0.000200039
-1.67,-0.000200039
-1.68,-0.000200039
-1.69,-0.00020004
-1.7,-0.00020004
-1.71,-0.000200039
-1.72,-0.000200039
-1.73,-0.000200039
-1.74,-0.00020004
-1.75,-0.000200039
-1.76,-0.000200039
-1.77,-0.000200039
-1.78,-0.000200039
-1.79,-0.00020004
-1.8,-0.000200039
-1.81,-0.00020004
-1.82,-0.000200039
-1.83,-0.00020004
-1.84,-0.000200039
-1.85,-0.000200039
-1.86,-0.00020004
-1.87,-0.00020004
-1.88,-0.000200039
-1.89,-0.000200039
-1.9,-0.00020004
-1.91,-0.000200039
-1.92,-0.00020004
-1.93,-0.00020004
-1.94,-0.000200039
-1.95,-0.000200039
-1.96,-0.000200039
-1.97,-0.000200039
-1.98,-0.000200039
-1.99,-0.000200039
-2,-0.000200039
-2,-0.00020004
-1.99,-0.000200039
-1.98,-0.000200039
-1.97,-0.000200039
-1.96,-0.000200039
-1.95,-0.000200039
-1.94,-0.00020004
-1.93,-0.000200039
-1.92,-0.000200039
-1.91,-0.000200039
-1.9,-0.00020004
-1.89,-0.00020004
-1.88,-0.000200039
-1.87,-0.00020004
-1.86,-0.00020004
-1.85,-0.00020004
-1.84,-0.00020004
-1.83,-0.00020004
-1.82,-0.00020004
-1.81,-0.00020004
-1.8,-0.00020004
-1.79,-0.00020004
-1.78,-0.00020004
-1.77,-0.00020004
-1.76,-0.00020004
-1.75,-0.00020004
-1.74,-0.000200039
-1.73,-0.000200041
-1.72,-0.00020004
-1.71,-0.00020004
-1.7,-0.000200039
-1.69,-0.00020004
-1.68,-0.000200041
-1.67,-0.00020004
-1.66,-0.00020004
-1.65,-0.00020004
-1.64,-0.000200039
-1.63,-0.00020004
-1.62,-0.00020004
-1.61,-0.00020004
-1.6,-0.00020004
-1.59,-0.000200041
-1.58,-0.00020004
-1.57,-0.00020004
-1.56,-0.00020004
-1.55,-0.00020004
-1.54,-0.000200041
-1.53,-0.00020004
-1.52,-0.000200041
-1.51,-0.00020004
-1.5,-0.00020004
-1.49,-0.000200041
-1.48,-0.00020004
-1.47,-0.00020004
-1.46,-0.00020004
-1.45,-0.00020004
-1.44,-0.00020004
-1.43,-0.000200039
-1.42,-0.00020004
-1.41,-0.00020004
-1.4,-0.00020004
-1.39,-0.000200039
-1.38,-0.000200039
-1.37,-0.000200039
-1.36,-0.00020004
-1.35,-0.000200039
-1.34,-0.000200039
-1.33,-0.000200039
-1.32,-0.000200039
-1.31,-0.00020004
-1.3,-0.00020004
-1.29,-0.00020004
-1.28,-0.000200039
-1.27,-0.00020004
-1.26,-0.00020004
-1.25,-0.000200039
-1.24,-0.000200039
-1.23,-0.00020004
-1.22,-0.00020004
-1.21,-0.00020004
-1.2,-0.00020004
-1.19,-0.00020004
-1.18,-0.00020004
-1.17,-0.00020004
-1.16,-0.00020004
-1.15,-0.00020004
-1.14,-0.00020004
-1.13,-0.00020004
-1.12,-0.00020004
-1.11,-0.00020004
-1.1,-0.00020004
-1.09,-0.000200041
-1.08,-0.00020004
-1.07,-0.00020004
-1.06,-0.00020004
-1.05,-0.00020004
-1.04,-0.000200039
-1.03,-0.00020004
-1.02,-0.00020004
-1.01,-0.00020004
-1,-0.00020004
-0.99,-0.000200039
-0.98,-0.000200041
-0.97,-0.000197559
-0.96,-0.000194289
-0.95,-0.000190922
-0.94,-0.000187052
-0.93,-0.000183492
-0.92,-0.000180111
-0.91,-0.000176681
-0.9,-0.00017362
-0.89,-0.000170366
-0.88,-0.000166893
-0.87,-0.000163706
-0.86,-0.000160434
-0.85,-0.000157026
-0.84,-0.000153915
-0.83,-0.000150619
-0.82,-0.000147343
-0.81,-0.000144264
-0.8,-0.000141343
-0.79,-0.000138715
-0.78,-0.000135764
-0.77,-0.000132823
-0.76,-0.000129692
-0.75,-0.000127249
-0.74,-0.000124436
-0.73,-0.000121474
-0.72,-0.000118566
-0.71,-0.000115666
-0.7,-0.000112965
-0.69,-0.000110391
-0.68,-0.000107896
-0.67,-0.000105249
-0.66,-0.000102494
-0.65,-9.98376E-05
-0.64,-9.74752E-05
-0.63,-9.51069E-05
-0.62,-9.25655E-05
-0.61,-9.01679E-05
-0.6,-8.70287E-05
-0.59,-8.50845E-05
-0.58,-8.27989E-05
-0.57,-8.04433E-05
-0.56,-7.79161E-05
-0.55,-7.56694E-05
-0.54,-7.31471E-05
-0.53,-7.08966E-05
-0.52,-6.88718E-05
-0.51,-6.64155E-05
-0.5,-6.41014E-05
-0.49,-6.21513E-05
-0.48,-5.99528E-05
-0.47,-5.80115E-05
-0.46,-5.61161E-05
-0.45,-5.41305E-05
-0.44,-5.2042E-05
-0.43,-5.01094E-05
-0.42,-4.80894E-05
-0.41,-4.63513E-05
-0.4,-4.44937E-05
-0.39,-4.26853E-05
-0.38,-4.1051E-05
-0.37,-3.95279E-05
-0.36,-3.775E-05
-0.35,-3.59945E-05
-0.34,-3.41772E-05
-0.33,-3.26472E-05
-0.32,-3.12585E-05
-0.31,-2.9767E-05
-0.3,-2.84491E-05
-0.29,-2.69629E-05
-0.28,-2.55647E-05
-0.27,-2.41839E-05
-0.26,-2.27829E-05
-0.25,-2.15575E-05
-0.24,-2.04495E-05
-0.23,-1.89567E-05
-0.22,-1.76934E-05
-0.21,-1.6683E-05
-0.2,-1.56115E-05
-0.19,-1.46E-05
-0.18,-1.35512E-05
-0.17,-1.24421E-05
-0.16,-1.14949E-05
-0.15,-1.04994E-05
-0.14,-9.6039E-06
-0.13,-8.71919E-06
-0.12,-7.94062E-06
-0.11,-7.10292E-06
-0.1,-6.33564E-06
-0.09,-5.61811E-06
-0.08,-4.85921E-06
-0.07,-4.18233E-06
-0.06,-3.52069E-06
-0.05,-2.88189E-06
-0.04,-2.28312E-06
-0.03,-1.7046E-06
-0.02,-1.12599E-06
-0.01,-5.5122E-07
0,2.8517E-09
