Setup title,"C-V Sweep_light_-3_3_1K_100K_1M"
Classic test name,"C-V Sweep"
Test date,3/15/2023
Test time,17:11:31
Device ID,
Count,2
Flags,
Remarks,
Channel.UnitTyp,CMU
Channel.Unit,CMU1:MF/SC
Channel.IName,
Channel.VName,VBias
Channel.Mode,
Channel.Func,VAR1
Channel.Index,
Channel.Time,
Measurement.Primary.Locus,Single
Measurement.Primary.Scale,LINEAR
Measurement.Primary.Start,-3
Measurement.Primary.Stop,3
Measurement.Primary.Step,0.01
Measurement.Aborting.Condition,"CONTINUE AT ANY"
Measurement.PostOutput.Value,START
Measurement.PostOutput.Retention,OFF
Measurement.Secondary.ACLevel,0.03
Measurement.Secondary.FName,Freq
Measurement.Secondary.Frequency,1000,100000,1000000
Measurement.Bias.Source,0
Measurement.ImpedanceMode.Model,Cp-G
Measurement.ImpedanceMode.CName,C
Measurement.ImpedanceMode.LName,L
Measurement.ImpedanceMode.GName,G
Measurement.ImpedanceMode.RName,R
Measurement.ImpedanceMode.QName,Q
Measurement.ImpedanceMode.DName,D
Measurement.ImpedanceMode.YName,Y
Measurement.ImpedanceMode.ZName,Z
Measurement.ImpedanceMode.ThName,Theta
Measurement.ImpedanceMode.BName,B
Measurement.ImpedanceMode.XName,X
Measurement.Monitor.Unit,CMU1:MF/SC
Measurement.Monitor.RangingMode,AUTO
Measurement.Monitor.RangeBoundary,50
Measurement.Monitor.AcMonitorSymbol,
Measurement.Monitor.DcMonitorSymbol,
Measurement.Timing.Hold,0
Measurement.Timing.Delay,0
Measurement.Adc.UnitType,Cmu,Smu
Measurement.Adc.HighResolution.Mode,AUTO,AUTO
Measurement.Adc.HighResolution.Coeff,2,10
Measurement.Adc.HighSpeed.Mode,AUTO
Measurement.Adc.HighSpeed.Coeff,10
Measurement.Adc.HighResolution.AutoZero,OFF
Measurement.WaitTime.Source.Coeff,1
Measurement.WaitTime.Source.Offset,0
Measurement.WaitTime.Monitor.Coeff,1
Measurement.WaitTime.Monitor.Offset,0
Output.Graph.Enabled,true
Output.Graph.AutoScaling,false
Output.Graph.XAxis.Data,VBias
Output.Graph.XAxis.Scale,Linear
Output.Graph.XAxis.Left,-3
Output.Graph.XAxis.Right,3
Output.Graph.XAxis.RunTimeAutoScale,true
Output.Graph.YAxis.Data,C
Output.Graph.YAxis.Scale,Linear
Output.Graph.YAxis.Bottom,0
Output.Graph.YAxis.Top,1E-10
Output.Graph.YAxis.Group,
Output.Graph.YAxis.RunTimeAutoScale,true
AutoAnalysis.Interpolation,false
AutoAnalysis.Line1.Enabled,false
AutoAnalysis.Line1.Type,1
AutoAnalysis.Line1.Fix,True
AutoAnalysis.Line1.YAxis,0
AutoAnalysis.Line1.Point1.Type,0
AutoAnalysis.Line1.Point1.XY.X,
AutoAnalysis.Line1.Point1.XY.Y,
AutoAnalysis.Line1.Point1.Data.Var,
AutoAnalysis.Line1.Point1.Data.Condition,
AutoAnalysis.Line1.Point1.Data.Start,false
AutoAnalysis.Line1.Point1.Data.StartVar,
AutoAnalysis.Line1.Point1.Data.StartCondition,
AutoAnalysis.Line1.Point2.Type,0
AutoAnalysis.Line1.Point2.XY.X,
AutoAnalysis.Line1.Point2.XY.Y,
AutoAnalysis.Line1.Point2.Data.Var,
AutoAnalysis.Line1.Point2.Data.Condition,
AutoAnalysis.Line1.Point2.Data.Start,false
AutoAnalysis.Line1.Point2.Data.StartVar,
AutoAnalysis.Line1.Point2.Data.StartCondition,
AutoAnalysis.Line1.GradientExpr,0
AutoAnalysis.Line2.Enabled,false
AutoAnalysis.Line2.Type,1
AutoAnalysis.Line2.Fix,True
AutoAnalysis.Line2.YAxis,0
AutoAnalysis.Line2.Point1.Type,0
AutoAnalysis.Line2.Point1.XY.X,
AutoAnalysis.Line2.Point1.XY.Y,
AutoAnalysis.Line2.Point1.Data.Var,
AutoAnalysis.Line2.Point1.Data.Condition,
AutoAnalysis.Line2.Point1.Data.Start,false
AutoAnalysis.Line2.Point1.Data.StartVar,
AutoAnalysis.Line2.Point1.Data.StartCondition,
AutoAnalysis.Line2.Point2.Type,0
AutoAnalysis.Line2.Point2.XY.X,
AutoAnalysis.Line2.Point2.XY.Y,
AutoAnalysis.Line2.Point2.Data.Var,
AutoAnalysis.Line2.Point2.Data.Condition,
AutoAnalysis.Line2.Point2.Data.Start,false
AutoAnalysis.Line2.Point2.Data.StartVar,
AutoAnalysis.Line2.Point2.Data.StartCondition,
AutoAnalysis.Line2.GradientExpr,0
AutoAnalysis.Marker.Enabled,false
AutoAnalysis.Marker.Data.Var,
AutoAnalysis.Marker.Data.Condition,
AutoAnalysis.Marker.Data.Start,false
AutoAnalysis.Marker.Data.StartVar,
AutoAnalysis.Marker.Data.StartCondition,
VBias,C
-3,1.57717E-11
-2.99,-2.50313E-12
-2.98,-3.53343E-13
-2.97,1.17794E-12
-2.96,-7.21126E-12
-2.95,-2.73625E-12
-2.94,-3.64621E-13
-2.93,-1.5717E-11
-2.92,4.53303E-14
-2.91,5.61545E-13
-2.9,9.40026E-13
-2.89,1.81174E-12
-2.88,4.34064E-13
-2.87,-2.38061E-13
-2.86,8.16772E-13
-2.85,2.86809E-13
-2.84,7.49103E-13
-2.83,1.48346E-12
-2.82,1.35597E-12
-2.81,6.84887E-13
-2.8,7.74645E-13
-2.79,-3.01159E-13
-2.78,9.06814E-13
-2.77,-3.72232E-15
-2.76,-3.43503E-13
-2.75,-8.40819E-14
-2.74,8.79569E-13
-2.73,3.16347E-12
-2.72,-1.00759E-13
-2.71,-4.14756E-13
-2.7,-4.09861E-14
-2.69,9.41387E-13
-2.68,9.28233E-13
-2.67,6.76105E-13
-2.66,4.06407E-13
-2.65,9.43914E-13
-2.64,2.6702E-13
-2.63,-2.16056E-13
-2.62,-6.70415E-14
-2.61,-5.01064E-14
-2.6,1.75158E-13
-2.59,4.47151E-13
-2.58,-3.71134E-13
-2.57,1.04154E-12
-2.56,5.44368E-13
-2.55,2.0668E-14
-2.54,-5.25908E-14
-2.53,5.04929E-13
-2.52,4.26276E-13
-2.51,4.17225E-13
-2.5,9.14245E-13
-2.49,3.11837E-13
-2.48,7.58091E-15
-2.47,4.0747E-13
-2.46,-2.72375E-13
-2.45,1.62283E-13
-2.44,5.98724E-13
-2.43,5.6234E-13
-2.42,1.01589E-13
-2.41,5.13015E-13
-2.4,-2.67637E-14
-2.39,4.00239E-13
-2.38,6.89141E-13
-2.37,6.52138E-13
-2.36,3.30806E-13
-2.35,7.12473E-13
-2.34,6.14157E-13
-2.33,4.4148E-13
-2.32,3.6976E-13
-2.31,2.4736E-14
-2.3,2.0961E-13
-2.29,6.3047E-13
-2.28,5.24669E-13
-2.27,-1.71958E-14
-2.26,1.01214E-12
-2.25,3.61627E-13
-2.24,-3.22669E-14
-2.23,5.27618E-13
-2.22,7.51094E-13
-2.21,-6.50258E-14
-2.2,8.75507E-13
-2.19,4.95421E-13
-2.18,9.64205E-14
-2.17,-3.07998E-14
-2.16,1.78343E-13
-2.15,-1.43003E-13
-2.14,2.39959E-13
-2.13,6.99898E-13
-2.12,8.35966E-13
-2.11,5.17802E-13
-2.1,1.80501E-13
-2.09,-6.95487E-14
-2.08,2.91524E-13
-2.07,7.69744E-13
-2.06,-7.77419E-14
-2.05,3.14133E-13
-2.04,7.72396E-13
-2.03,3.50385E-13
-2.02,5.45644E-13
-2.01,2.43857E-13
-2,5.42711E-15
-1.99,2.27749E-13
-1.98,4.58157E-13
-1.97,3.77834E-13
-1.96,6.28667E-13
-1.95,8.296E-13
-1.94,3.52514E-13
-1.93,-7.8054E-14
-1.92,4.42812E-13
-1.91,7.44831E-14
-1.9,3.22485E-13
-1.89,5.99018E-13
-1.88,1.98352E-13
-1.87,3.39085E-13
-1.86,8.19042E-13
-1.85,3.65221E-13
-1.84,-6.0914E-14
-1.83,3.35387E-13
-1.82,6.6131E-13
-1.81,2.9036E-13
-1.8,6.32058E-13
-1.79,5.93332E-13
-1.78,-7.91719E-15
-1.77,3.90478E-13
-1.76,4.11924E-13
-1.75,-3.95708E-14
-1.74,2.19898E-13
-1.73,6.92645E-13
-1.72,3.79439E-13
-1.71,7.93574E-13
-1.7,5.78121E-13
-1.69,1.43546E-13
-1.68,1.61677E-14
-1.67,3.72898E-13
-1.66,2.6265E-14
-1.65,1.13714E-13
-1.64,8.61867E-13
-1.63,8.45564E-13
-1.62,3.7415E-13
-1.61,5.95254E-13
-1.6,9.6365E-14
-1.59,2.04942E-13
-1.58,5.68458E-13
-1.57,1.228E-13
-1.56,5.31605E-14
-1.55,5.46068E-13
-1.54,8.30798E-13
-1.53,3.85419E-13
-1.52,4.43024E-13
-1.51,3.13604E-13
-1.5,3.18185E-14
-1.49,2.79436E-13
-1.48,6.6788E-13
-1.47,4.89894E-14
-1.46,5.45595E-13
-1.45,7.38236E-13
-1.44,6.26373E-13
-1.43,1.35729E-13
-1.42,4.55109E-13
-1.41,9.2313E-14
-1.4,4.23465E-14
-1.39,6.28664E-13
-1.38,6.9027E-13
-1.37,6.17576E-14
-1.36,6.67873E-13
-1.35,7.73718E-13
-1.34,3.4728E-13
-1.33,6.0689E-14
-1.32,2.57725E-13
-1.31,5.61068E-14
-1.3,1.54027E-13
-1.29,6.74389E-13
-1.28,6.67155E-13
-1.27,9.41676E-14
-1.26,8.59564E-13
-1.25,5.9484E-13
-1.24,2.73126E-13
-1.23,-3.08241E-14
-1.22,2.48936E-13
-1.21,8.01362E-14
-1.2,1.72561E-13
-1.19,7.06961E-13
-1.18,5.27769E-13
-1.17,2.35104E-13
-1.16,5.81706E-13
-1.15,7.52058E-13
-1.14,4.49634E-13
-1.13,5.149E-14
-1.12,4.93654E-13
-1.11,8.59218E-14
-1.1,3.31809E-13
-1.09,5.76298E-13
-1.08,5.79497E-13
-1.07,9.82813E-14
-1.06,5.05116E-13
-1.05,8.64275E-13
-1.04,4.21014E-13
-1.03,1.41136E-13
-1.02,1.45021E-13
-1.01,1.4294E-13
-1,1.17096E-13
-0.99,2.57966E-13
-0.98,6.74987E-13
-0.97,5.28652E-13
-0.96,1.46785E-13
-0.95,5.65319E-13
-0.94,8.71832E-13
-0.93,5.54078E-13
-0.92,2.13106E-13
-0.91,6.47549E-13
-0.9,4.11973E-13
-0.89,4.51609E-14
-0.88,3.26901E-13
-0.87,5.3886E-13
-0.86,1.08756E-13
-0.85,8.37965E-14
-0.84,5.06095E-13
-0.83,6.25822E-13
-0.82,5.35699E-13
-0.81,5.99698E-13
-0.8,6.30252E-13
-0.79,4.51246E-13
-0.78,1.04357E-13
-0.77,2.66412E-13
-0.76,3.85914E-13
-0.75,1.6849E-13
-0.74,-8.78762E-14
-0.73,2.20937E-13
-0.72,5.05847E-13
-0.71,1.8176E-13
-0.7,4.85513E-13
-0.69,6.79892E-13
-0.68,3.54038E-13
-0.67,1.99597E-13
-0.66,7.05691E-13
-0.65,5.84524E-13
-0.64,4.05238E-13
-0.63,7.6907E-14
-0.62,6.0399E-14
-0.61,2.30526E-13
-0.6,8.62971E-14
-0.59,2.34944E-13
-0.58,6.55668E-13
-0.57,5.66721E-13
-0.56,1.89632E-13
-0.55,2.94926E-13
-0.54,9.20082E-13
-0.53,6.4249E-13
-0.52,2.69674E-13
-0.51,5.32189E-13
-0.5,4.41217E-13
-0.49,1.71932E-13
-0.48,1.81064E-13
-0.47,3.10392E-13
-0.46,4.9728E-13
-0.45,1.47613E-13
-0.44,9.71069E-14
-0.43,5.34363E-13
-0.42,6.93391E-13
-0.41,2.16288E-13
-0.4,4.71407E-13
-0.39,6.06591E-13
-0.38,4.84256E-13
-0.37,9.24009E-14
-0.36,3.78443E-13
-0.35,7.56134E-13
-0.34,2.76093E-13
-0.33,-1.5236E-14
-0.32,2.3893E-13
-0.31,3.66013E-13
-0.3,9.00902E-14
-0.29,2.75354E-13
-0.28,6.72232E-13
-0.27,5.96315E-13
-0.26,6.25836E-15
-0.25,2.53374E-13
-0.24,6.82069E-13
-0.23,7.61984E-13
-0.22,3.62892E-13
-0.21,1.52228E-13
-0.2,5.15497E-13
-0.19,2.53767E-13
-0.18,7.23511E-14
-0.17,3.93206E-13
-0.16,6.05733E-13
-0.15,1.37894E-14
-0.14,5.06242E-14
-0.13,4.42468E-13
-0.12,6.49059E-13
-0.11,7.72228E-13
-0.1,3.35754E-13
-0.09,7.50245E-13
-0.08,4.86055E-13
-0.07,2.63065E-13
-0.06,2.3934E-13
-0.05,6.74105E-13
-0.04,3.46863E-13
-0.03,-1.49236E-14
-0.02,4.94852E-14
-0.01,4.94111E-13
0,1.00397E-13
0.01,3.3145E-13
0.02,6.65212E-13
0.03,5.85913E-13
0.04,2.85735E-13
0.05,2.65716E-13
0.06,6.93642E-13
0.07,7.2391E-13
0.08,2.62655E-13
0.09,7.91508E-14
0.1,2.91453E-13
0.11,2.63505E-13
0.12,1.7398E-13
0.13,4.54988E-14
0.14,6.29576E-13
0.15,1.71772E-13
0.16,8.80925E-14
0.17,4.12999E-13
0.18,7.49896E-13
0.19,4.63605E-13
0.2,6.85767E-13
0.21,6.38059E-13
0.22,3.16348E-13
0.23,2.0333E-13
0.24,2.00668E-13
0.25,3.6662E-13
0.26,2.27931E-13
0.27,4.91089E-14
0.28,1.08612E-13
0.29,5.86475E-13
0.3,5.06255E-13
0.31,4.06138E-13
0.32,5.40563E-13
0.33,3.23967E-13
0.34,3.13691E-13
0.35,5.31429E-13
0.36,4.20784E-13
0.37,5.689E-13
0.38,3.41609E-13
0.39,2.60024E-13
0.4,2.82628E-13
0.41,4.63093E-13
0.42,1.52863E-13
0.43,4.65421E-14
0.44,3.98678E-13
0.45,7.22384E-13
0.46,5.2811E-13
0.47,3.36761E-13
0.48,6.7951E-13
0.49,5.07562E-13
0.5,-2.76335E-14
0.51,3.08623E-13
0.52,4.008E-13
0.53,3.01204E-13
0.54,5.92917E-14
0.55,5.19206E-14
0.56,5.9546E-13
0.57,2.71972E-15
0.58,4.72133E-13
0.59,5.10052E-13
0.6,6.44005E-13
0.61,1.83441E-13
0.62,2.03519E-13
0.63,7.66284E-13
0.64,4.42078E-13
0.65,1.48313E-13
0.66,2.0932E-14
0.67,2.66058E-13
0.68,1.54787E-13
0.69,1.63004E-13
0.7,4.78901E-13
0.71,5.65361E-13
0.72,4.16267E-13
0.73,4.16635E-13
0.74,7.29471E-13
0.75,6.27626E-13
0.76,2.80202E-13
0.77,1.29998E-13
0.78,3.61188E-13
0.79,1.22823E-13
0.8,3.1335E-14
0.81,3.87926E-13
0.82,6.17469E-13
0.83,3.5546E-14
0.84,2.43225E-13
0.85,6.36786E-13
0.86,6.31765E-13
0.87,2.65123E-13
0.88,4.55981E-13
0.89,4.11179E-13
0.9,2.39381E-13
0.91,1.36981E-13
0.92,4.39849E-13
0.93,5.32827E-13
0.94,-1.92536E-13
0.95,1.98896E-13
0.96,4.33397E-13
0.97,5.08475E-13
0.98,4.10632E-13
0.99,6.26957E-13
1,5.50693E-13
1.01,2.58231E-13
1.02,9.15478E-14
1.03,8.39359E-13
1.04,4.52895E-13
1.05,-3.83152E-14
1.06,2.42379E-13
1.07,4.68752E-13
1.08,5.41293E-13
1.09,3.9786E-13
1.1,4.97529E-13
1.11,5.86361E-13
1.12,4.02676E-13
1.13,4.6113E-13
1.14,8.82904E-13
1.15,6.13564E-13
1.16,4.76092E-15
1.17,1.01545E-13
1.18,3.77311E-13
1.19,-7.91972E-14
1.2,2.94086E-13
1.21,6.50453E-13
1.22,5.63377E-13
1.23,4.38947E-13
1.24,3.50872E-13
1.25,7.00513E-13
1.26,6.17957E-13
1.27,1.73298E-13
1.28,3.47926E-14
1.29,2.74585E-13
1.3,1.21155E-13
1.31,1.31902E-13
1.32,5.27448E-13
1.33,5.06838E-13
1.34,-1.41057E-13
1.35,2.49274E-13
1.36,5.95629E-13
1.37,7.3262E-13
1.38,4.67222E-13
1.39,4.72657E-13
1.4,4.12992E-13
1.41,9.04537E-14
1.42,9.75309E-15
1.43,4.39928E-13
1.44,3.82514E-13
1.45,-3.81427E-14
1.46,2.32149E-13
1.47,4.22129E-13
1.48,5.92135E-13
1.49,4.302E-13
1.5,4.76308E-13
1.51,6.55378E-13
1.52,3.52359E-13
1.53,2.40654E-13
1.54,7.44762E-13
1.55,2.33624E-13
1.56,1.6244E-13
1.57,6.34904E-15
1.58,3.8109E-13
1.59,5.38658E-13
1.6,3.10131E-13
1.61,5.30914E-13
1.62,6.05646E-13
1.63,2.61474E-13
1.64,2.5695E-13
1.65,6.24846E-13
1.66,5.23656E-13
1.67,2.38149E-13
1.68,2.06764E-13
1.69,2.7315E-13
1.7,2.79599E-13
1.71,9.37681E-14
1.72,3.29018E-13
1.73,6.84766E-13
1.74,1.66379E-13
1.75,1.28288E-13
1.76,6.7626E-13
1.77,9.24813E-13
1.78,2.93313E-13
1.79,8.00827E-14
1.8,4.59008E-13
1.81,-5.9679E-14
1.82,-1.10723E-13
1.83,2.76916E-13
1.84,7.99143E-13
1.85,1.21885E-13
1.86,-1.17773E-13
1.87,6.14155E-13
1.88,8.32512E-13
1.89,5.9726E-13
1.9,4.94387E-13
1.91,5.41094E-13
1.92,5.70218E-13
1.93,-8.55063E-14
1.94,4.1955E-14
1.95,6.11554E-13
1.96,2.21065E-13
1.97,-2.45584E-13
1.98,1.80086E-14
1.99,5.95927E-14
2,2.35731E-13
2.01,2.20511E-13
2.02,3.86591E-13
2.03,4.04123E-13
2.04,1.1937E-13
2.05,1.03707E-13
2.06,9.76381E-13
2.07,3.10351E-13
2.08,2.04922E-15
2.09,1.31461E-13
2.1,5.30444E-14
2.11,-3.06124E-14
2.12,-3.68734E-14
2.13,3.99302E-13
2.14,7.82021E-13
2.15,2.57734E-13
2.16,7.81703E-13
2.17,7.69097E-13
2.18,4.45142E-13
2.19,-1.20795E-13
2.2,6.75793E-14
2.21,-1.32999E-13
2.22,2.30031E-13
2.23,-2.75777E-13
2.24,4.80601E-13
2.25,9.05471E-13
2.26,-4.7781E-14
2.27,6.48128E-13
2.28,4.92691E-13
2.29,6.83335E-13
2.3,-2.71523E-13
2.31,3.30372E-13
2.32,3.36939E-13
2.33,2.05797E-13
2.34,-1.21527E-13
2.35,4.18462E-13
2.36,8.5221E-13
2.37,-3.21189E-14
2.38,-1.10101E-13
2.39,3.18787E-13
2.4,1.08293E-12
2.41,5.04767E-13
2.42,4.54363E-13
2.43,6.83755E-13
2.44,4.30185E-13
2.45,1.60261E-13
2.46,7.33896E-13
2.47,5.7953E-13
2.48,1.64597E-13
2.49,1.80608E-15
2.5,3.14468E-13
2.51,1.1814E-13
2.52,1.38656E-13
2.53,5.13209E-13
2.54,5.18904E-13
2.55,5.2884E-13
2.56,2.86969E-13
2.57,6.37603E-13
2.58,8.80182E-13
2.59,4.34581E-13
2.6,1.71865E-13
2.61,1.489E-13
2.62,3.28772E-13
2.63,2.14415E-14
2.64,2.16539E-13
2.65,5.96181E-13
2.66,6.41026E-13
2.67,6.60681E-15
2.68,3.6307E-13
2.69,5.95295E-13
2.7,7.02376E-13
2.71,1.88911E-13
2.72,5.13086E-13
2.73,4.59653E-13
2.74,3.42401E-13
2.75,-1.64436E-14
2.76,3.77269E-13
2.77,4.88584E-13
2.78,9.50907E-14
2.79,1.15092E-14
2.8,2.63242E-13
2.81,7.30637E-13
2.82,4.94839E-13
2.83,6.70208E-13
2.84,5.92583E-13
2.85,5.33584E-13
2.86,2.17337E-13
2.87,6.42824E-13
2.88,7.08446E-13
2.89,3.31904E-13
2.9,1.98527E-13
2.91,1.80459E-13
2.92,1.86475E-13
2.93,1.30437E-13
2.94,1.17911E-13
2.95,5.77023E-13
2.96,6.38595E-13
2.97,3.78638E-13
2.98,3.26233E-13
2.99,5.6178E-13
3,5.77122E-13
-3,
-2.99,-1.37973E-10
-2.98,
-2.97,
-2.96,
-2.95,-3.26175E-09
-2.94,-3.34233E-09
-2.93,
-2.92,
-2.91,
-2.9,
-2.89,
-2.88,
-2.87,
-2.86,
-2.85,
-2.84,
-2.83,
-2.82,
-2.81,
-2.8,
-2.79,
-2.78,-8.46709E-10
-2.77,-2.39214E-09
-2.76,-2.43256E-09
-2.75,-2.29379E-09
-2.74,-2.2491E-09
-2.73,-2.06578E-09
-2.72,-2.48202E-09
-2.71,
-2.7,
-2.69,
-2.68,
-2.67,
-2.66,
-2.65,
-2.64,
-2.63,
-2.62,
-2.61,
-2.6,
-2.59,
-2.58,-6.91042E-10
-2.57,-6.70531E-10
-2.56,-4.95805E-10
-2.55,-6.76607E-10
-2.54,-5.51373E-10
-2.53,-5.02826E-10
-2.52,-5.06512E-10
-2.51,-5.67714E-10
-2.5,-5.59364E-10
-2.49,-4.71937E-10
-2.48,-3.72461E-10
-2.47,-3.06601E-10
-2.46,-3.2877E-10
-2.45,-3.2268E-10
-2.44,-3.39887E-10
-2.43,-2.48701E-10
-2.42,-2.49878E-10
-2.41,-2.09649E-10
-2.4,-1.24003E-10
-2.39,-1.70289E-10
-2.38,1.94194E-09
-2.37,-1.56683E-09
-2.36,-6.96113E-10
-2.35,-2.23064E-10
-2.34,
-2.33,
-2.32,
-2.31,
-2.3,
-2.29,
-2.28,
-2.27,
-2.26,
-2.25,
-2.24,
-2.23,
-2.22,
-2.21,
-2.2,
-2.19,
-2.18,1.63594E-10
-2.17,
-2.16,
-2.15,
-2.14,
-2.13,
-2.12,
-2.11,
-2.1,
-2.09,
-2.08,
-2.07,
-2.06,
-2.05,
-2.04,
-2.03,
-2.02,
-2.01,
-2,
-1.99,
-1.98,
-1.97,
-1.96,
-1.95,
-1.94,
-1.93,
-1.92,
-1.91,
-1.9,
-1.89,
-1.88,
-1.87,
-1.86,
-1.85,
-1.84,
-1.83,
-1.82,
-1.81,
-1.8,
-1.79,
-1.78,
-1.77,
-1.76,
-1.75,1.39538E-13
-1.74,2.84186E-13
-1.73,2.47851E-13
-1.72,2.57182E-13
-1.71,2.40858E-13
-1.7,2.93365E-13
-1.69,2.62876E-13
-1.68,2.83221E-13
-1.67,3.05451E-13
-1.66,2.74127E-13
-1.65,2.74001E-13
-1.64,2.87627E-13
-1.63,3.16494E-13
-1.62,2.62311E-13
-1.61,3.37559E-13
-1.6,2.71085E-13
-1.59,2.70476E-13
-1.58,2.57537E-13
-1.57,2.87243E-13
-1.56,2.95928E-13
-1.55,2.73939E-13
-1.54,2.58443E-13
-1.53,2.65842E-13
-1.52,2.36484E-13
-1.51,2.67341E-13
-1.5,2.76533E-13
-1.49,2.17001E-13
-1.48,2.97354E-13
-1.47,2.6704E-13
-1.46,3.03917E-13
-1.45,2.91345E-13
-1.44,2.16169E-13
-1.43,2.69546E-13
-1.42,2.95792E-13
-1.41,2.60593E-13
-1.4,2.4929E-13
-1.39,2.61394E-13
-1.38,2.7559E-13
-1.37,2.76348E-13
-1.36,2.5021E-13
-1.35,2.68462E-13
-1.34,3.15609E-13
-1.33,2.77383E-13
-1.32,2.42428E-13
-1.31,1.85024E-13
-1.3,1.70191E-13
-1.29,2.79852E-13
-1.28,3.03047E-13
-1.27,2.72993E-13
-1.26,2.69139E-13
-1.25,2.71384E-13
-1.24,2.26716E-13
-1.23,3.01095E-13
-1.22,2.7535E-13
-1.21,3.14038E-13
-1.2,2.90413E-13
-1.19,2.46859E-13
-1.18,2.28971E-13
-1.17,3.03158E-13
-1.16,3.42294E-13
-1.15,2.88136E-13
-1.14,2.97136E-13
-1.13,2.6716E-13
-1.12,2.81607E-13
-1.11,2.37047E-13
-1.1,2.56288E-13
-1.09,2.53876E-13
-1.08,2.62622E-13
-1.07,2.81959E-13
-1.06,2.51134E-13
-1.05,2.79954E-13
-1.04,2.53256E-13
-1.03,1.93843E-13
-1.02,2.4956E-13
-1.01,2.89038E-13
-1,2.34055E-13
-0.99,3.00988E-13
-0.98,2.94796E-13
-0.97,2.11611E-13
-0.96,2.85714E-13
-0.95,2.75786E-13
-0.94,2.56247E-13
-0.93,2.62533E-13
-0.92,1.95206E-13
