Setup title,"I/V-t Sampling_3V_10S__Dark"
Classic test name,"I/V-t Sampling"
Test date,2/8/2023
Test time,16:43:02
Device ID,
Count,2
Flags,
Remarks,
Context.MainFrame,B1500A
Channel.UnitType,SMU,SMU
Channel.Unit,SMU4:HR,SMU3:HR
Channel.IName,I1,I2
Channel.VName,V1,V2
Channel.Mode,V,COMMON
Channel.Index,
Channel.Time,Time
Measurement.Port.Unit,SMU4:HR,SMU3:HR
Measurement.Port.SeriesResistor,NONE,NONE
Measurement.Port.Filter,ON,ON
Measurement.Port.OutputVoltageComparison,0,0
Measurement.Sampling.Scale,LINEAR
Measurement.Sampling.Interval,0.01
Measurement.Sampling.Count,1001
Measurement.Sampling.HoldTime,0
Measurement.Sampling.BaseHoldTime,0
Measurement.Sampling.OutputSequence,SEQUENTIAL
Measurement.PostOutput.Value,SOURCE
Measurement.PostOutput.Retention,OFF
Measurement.Bias.Source,3,0
Measurement.Bias.Compliance,0.1,0.1
Measurement.Bias.Base,0
Measurement.Monitor.Unit,SMU4:HR,SMU3:HR
Measurement.Monitor.Adc,"HR ADC","HR ADC"
Measurement.Monitor.Measurement,"Compliance Side","Compliance Side"
Measurement.Monitor.RangingMode,LIMITED,LIMITED
Measurement.Monitor.RangeBoundary,1nA,1nA
Measurement.Monitor.RangeRating,"BY FULL RANGE","BY FULL RANGE"
Measurement.Monitor.RangeRatingCoeff,50,50
Measurement.Adc.HighSpeed.Mode,PLC
Measurement.Adc.HighSpeed.Coeff,10
Measurement.Adc.HighResolution.AutoZero,OFF
Measurement.Adc.HighResolution.Mode,PLC
Measurement.Adc.HighResolution.Coeff,10
Measurement.WaitTime.Source.Coeff,1
Measurement.WaitTime.Source.Offset,0
Measurement.WaitTime.Monitor.Coeff,1
Measurement.WaitTime.Monitor.Offset,0
Output.Graph.Enabled,true
Output.Graph.AutoScaling,false
Output.Graph.XAxis.Data,Time
Output.Graph.XAxis.Scale,Linear
Output.Graph.XAxis.Left,0
Output.Graph.XAxis.Right,10
Output.Graph.XAxis.RunTimeAutoScale,true
Output.Graph.YAxis.Data,I1
Output.Graph.YAxis.Scale,Linear
Output.Graph.YAxis.Bottom,-0.1
Output.Graph.YAxis.Top,0.1
Output.Graph.YAxis.Group,
Output.Graph.YAxis.RunTimeAutoScale,true
AutoAnalysis.Interpolation,false
AutoAnalysis.Line1.Enabled,false
AutoAnalysis.Line1.Type,1
AutoAnalysis.Line1.Fix,True
AutoAnalysis.Line1.YAxis,0
AutoAnalysis.Line1.Point1.Type,0
AutoAnalysis.Line1.Point1.XY.X,
AutoAnalysis.Line1.Point1.XY.Y,
AutoAnalysis.Line1.Point1.Data.Var,
AutoAnalysis.Line1.Point1.Data.Condition,
AutoAnalysis.Line1.Point1.Data.Start,false
AutoAnalysis.Line1.Point1.Data.StartVar,
AutoAnalysis.Line1.Point1.Data.StartCondition,
AutoAnalysis.Line1.Point2.Type,0
AutoAnalysis.Line1.Point2.XY.X,
AutoAnalysis.Line1.Point2.XY.Y,
AutoAnalysis.Line1.Point2.Data.Var,
AutoAnalysis.Line1.Point2.Data.Condition,
AutoAnalysis.Line1.Point2.Data.Start,false
AutoAnalysis.Line1.Point2.Data.StartVar,
AutoAnalysis.Line1.Point2.Data.StartCondition,
AutoAnalysis.Line1.GradientExpr,0
AutoAnalysis.Line2.Enabled,false
AutoAnalysis.Line2.Type,1
AutoAnalysis.Line2.Fix,True
AutoAnalysis.Line2.YAxis,0
AutoAnalysis.Line2.Point1.Type,0
AutoAnalysis.Line2.Point1.XY.X,
AutoAnalysis.Line2.Point1.XY.Y,
AutoAnalysis.Line2.Point1.Data.Var,
AutoAnalysis.Line2.Point1.Data.Condition,
AutoAnalysis.Line2.Point1.Data.Start,false
AutoAnalysis.Line2.Point1.Data.StartVar,
AutoAnalysis.Line2.Point1.Data.StartCondition,
AutoAnalysis.Line2.Point2.Type,0
AutoAnalysis.Line2.Point2.XY.X,
AutoAnalysis.Line2.Point2.XY.Y,
AutoAnalysis.Line2.Point2.Data.Var,
AutoAnalysis.Line2.Point2.Data.Condition,
AutoAnalysis.Line2.Point2.Data.Start,false
AutoAnalysis.Line2.Point2.Data.StartVar,
AutoAnalysis.Line2.Point2.Data.StartCondition,
AutoAnalysis.Line2.GradientExpr,0
AutoAnalysis.Marker.Enabled,false
AutoAnalysis.Marker.Data.Var,
AutoAnalysis.Marker.Data.Condition,
AutoAnalysis.Marker.Data.Start,false
AutoAnalysis.Marker.Data.StartVar,
AutoAnalysis.Marker.Data.StartCondition,
Measurement.Sampling.StopCondition.Enabled,false
Measurement.Sampling.StopCondition.EnableDelay,0
Measurement.Sampling.StopCondition.Name,
Measurement.Sampling.StopCondition.Threshold,0
Measurement.Sampling.StopCondition.Event,"Val > Th"
Measurement.Sampling.StopCondition.EventCount,1
Time,I1
0.04398,2.15095E-09
0.25064,1.41405E-09
0.45068,1.03607E-09
0.65068,8.3957E-10
0.85068,7.005E-10
1.05068,6.0096E-10
1.25094,5.2869E-10
1.45094,4.6981E-10
1.65225,4.2084E-10
1.85229,3.8559E-10
2.06229,3.4842E-10
2.26229,3.2171E-10
2.46229,3.0014E-10
2.66229,2.7848E-10
2.86316,2.6081E-10
3.06229,2.4572E-10
3.26225,2.3217E-10
3.46225,2.194E-10
3.66229,2.0464E-10
3.86225,1.9266E-10
4.0609,1.7393E-10
4.2609,1.8375E-10
4.46068,1.7446E-10
4.66068,1.7131E-10
4.86064,1.6277E-10
5.06064,1.5848E-10
5.26068,1.5455E-10
5.46068,1.4751E-10
5.66064,1.4115E-10
5.86085,1.3595E-10
6.06068,1.3312E-10
6.26068,1.2998E-10
6.46064,1.2373E-10
6.66068,1.2083E-10
6.86068,1.1681E-10
7.06068,1.1637E-10
7.26064,1.1212E-10
7.46068,1.0757E-10
7.66064,1.0444E-10
7.86068,1.0315E-10
8.06068,9.958E-11
8.26064,9.571E-11
8.46068,9.421E-11
8.66064,9.04E-11
8.86068,8.782E-11
9.06064,8.813E-11
9.26064,8.704E-11
9.46068,8.328E-11
9.66068,8.089E-11
9.86064,8.058E-11
10.06068,7.759E-11
10.26068,7.602E-11
10.46064,7.271E-11
10.66069,7.329E-11
10.86081,7.256E-11
11.06064,7.036E-11
11.26068,7.22E-11
11.46064,6.769E-11
11.66631,6.799E-11
11.87646,6.525E-11
12.08619,6.233E-11
12.29635,6.111E-11
12.50608,6.034E-11
12.71636,5.907E-11
12.925,5.693E-11
13.135,5.516E-11
13.34495,5.684E-11
13.55511,5.671E-11
13.76495,5.454E-11
13.97498,5.235E-11
14.185,5.299E-11
14.39499,5.009E-11
14.60496,4.585E-11
14.8136,4.514E-11
15.02365,4.688E-11
15.23364,4.466E-11
15.44433,4.573E-11
15.65361,4.539E-11
15.86365,4.689E-11
16.07365,4.491E-11
16.2836,4.514E-11
16.49361,4.672E-11
16.70225,4.518E-11
16.90225,4.275E-11
17.1023,4.372E-11
17.3023,4.23E-11
17.50229,4.149E-11
17.7023,4.01E-11
17.90229,3.998E-11
18.1023,3.882E-11
18.3023,3.698E-11
18.50229,3.733E-11
18.7009,3.705E-11
18.9009,3.746E-11
19.10064,3.744E-11
19.30083,3.554E-11
19.50087,3.341E-11
19.70068,3.537E-11
19.90068,3.333E-11
20.10068,3.332E-11
20.30068,3.437E-11
20.50064,3.01E-11
20.70068,3.207E-11
20.90068,3.084E-11
21.10068,3.248E-11
21.30068,3.138E-11
21.50064,3.095E-11
21.70068,2.954E-11
21.90064,3.062E-11
22.10068,3.006E-11
22.30076,2.803E-11
22.50087,2.724E-11
22.70064,2.91E-11
22.90068,2.807E-11
23.10064,2.633E-11
23.30064,2.7E-11
23.50068,2.47E-11
23.70064,2.791E-11
23.90068,2.409E-11
24.10068,2.574E-11
24.30068,2.575E-11
24.50064,2.531E-11
24.70064,2.331E-11
24.90068,2.41E-11
25.10064,2.236E-11
25.30074,2.432E-11
25.50086,2.293E-11
25.70068,2.221E-11
25.90064,2.152E-11
26.10068,2.15E-11
26.30064,2.094E-11
26.50064,2.219E-11
26.70068,2.057E-11
26.90068,1.698E-11
27.10068,2.07E-11
27.30068,1.882E-11
27.5063,1.991E-11
27.71631,2.128E-11
27.92635,1.975E-11
28.13635,1.9E-11
28.34635,1.881E-11
28.55635,2.083E-11
28.76649,1.952E-11
28.97625,1.819E-11
29.1856,1.705E-11
29.39498,1.833E-11
29.60499,1.547E-11
29.81495,1.76E-11
30.025,1.699E-11
